,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Qaanaaq,77.48,-69.36,47.41,53,0,8.81,GL,1595794573
1,Kotri,25.37,68.31,89.24,62,2,15.08,PK,1595794778
2,Butaritari,3.07,172.79,83.39,74,1,14.81,KI,1595794517
3,Ushuaia,-54.8,-68.3,33.8,90,75,23.04,AR,1595794235
4,Mae Chan,20.15,99.85,77.0,94,100,4.7,TH,1595794782
5,Kawalu,-7.38,108.21,69.53,90,100,1.45,ID,1595794559
6,Busselton,-33.65,115.33,62.01,79,61,14.97,AU,1595794307
7,Kapaa,22.08,-159.32,80.01,88,90,18.34,US,1595794472
8,Mumford,5.26,-0.76,75.4,85,41,15.61,GH,1595794786
9,Mahébourg,-20.41,57.7,69.8,73,75,18.34,MU,1595794655
10,Batemans Bay,-35.72,150.18,57.99,97,100,4.0,AU,1595794789
11,Hobart,-42.88,147.33,45.0,87,100,5.82,AU,1595794384
12,Nikolskoye,59.7,30.79,59.0,72,0,2.24,RU,1595794354
13,Zlatograd,41.38,25.1,79.0,59,17,6.24,BG,1595794792
14,Mar del Plata,-38.0,-57.56,53.01,76,100,13.87,AR,1595794462
15,Raghunathpur,23.55,86.67,87.15,66,94,4.09,IN,1595794794
16,Albany,42.6,-73.97,91.99,31,0,9.91,US,1595794383
17,Cidreira,-30.18,-50.21,57.13,78,100,13.65,BR,1595794465
18,Yulara,-25.24,130.99,39.2,66,0,1.12,AU,1595794798
19,Cape Town,-33.93,18.42,55.0,71,20,21.92,ZA,1595794247
20,Mount Gambier,-37.83,140.77,48.2,100,75,8.05,AU,1595794711
21,Pathein,16.78,94.73,80.69,89,100,4.72,MM,1595794801
22,San Felipe,10.34,-68.74,78.46,85,100,2.57,VE,1595794802
23,Cayenne,4.93,-52.33,78.8,83,91,3.36,GF,1595794507
24,Palpa,-14.53,-75.19,78.93,31,0,8.81,PE,1595794804
25,Laas,46.62,10.7,78.8,47,39,5.82,IT,1595794806
26,Mataura,-46.19,168.86,39.0,83,0,3.0,NZ,1595794462
27,Bluff,-46.6,168.33,39.0,83,0,3.0,NZ,1595794289
28,Khanbari,27.37,87.2,74.16,76,69,1.25,NP,1595794809
29,Green River,41.53,-109.47,82.4,18,1,9.17,US,1595794550
30,Olinda,-8.01,-34.86,78.8,74,40,16.11,BR,1595794811
31,Port Alfred,-33.59,26.89,58.24,69,66,14.45,ZA,1595794500
32,Arrondissement du Havre,49.58,0.33,62.6,77,100,5.82,FR,1595794814
33,Upernavik,72.79,-56.15,45.25,84,92,0.89,GL,1595794531
34,Caxito,-8.58,13.66,71.6,88,100,9.17,AO,1595794816
35,Ust'-Shonosha,61.15,41.34,57.11,70,88,2.77,RU,1595794817
36,Guerrero Negro,27.98,-114.06,80.56,48,0,15.21,MX,1595794818
37,Cherskiy,68.75,161.3,75.29,39,12,15.26,RU,1595794356
38,Fúquene,5.4,-73.8,61.2,68,22,6.35,CO,1595794820
39,Nome,64.5,-165.41,60.01,62,1,4.7,US,1595794584
40,La Ligua,-32.45,-71.23,60.8,59,100,6.93,CL,1595794823
41,Cockburn Town,21.46,-71.14,82.96,79,0,14.76,TC,1595794736
42,Baruun-Urt,46.68,113.28,59.99,77,22,10.02,MN,1595794825
43,Puerto El Triunfo,13.28,-88.55,91.4,74,40,4.7,SV,1595794826
44,Kargasok,59.06,80.86,55.27,84,97,4.27,RU,1595794579
45,Rawson,-43.3,-65.1,43.86,74,100,5.01,AR,1595794829
46,Hirara,24.8,125.28,84.94,79,78,16.37,JP,1595794830
47,Padang,-0.95,100.35,75.2,94,40,4.7,ID,1595794454
48,Debre Tabor,11.85,38.02,51.08,100,100,0.74,ET,1595794832
49,Esperance,-33.87,121.9,46.4,93,93,12.75,AU,1595794593
50,Bethel,41.37,-73.41,91.0,43,1,10.29,US,1595794436
51,East London,-33.02,27.91,60.93,68,94,15.99,ZA,1595794546
52,Tasiilaq,65.61,-37.64,46.4,75,100,8.05,GL,1595794226
53,Rikitea,-23.12,-134.97,70.23,79,0,19.53,PF,1595794478
54,Naze,28.37,129.48,82.4,88,75,8.05,JP,1595794839
55,Maceió,-9.67,-35.74,78.8,69,40,13.87,BR,1595794761
56,Praia da Vitória,38.73,-27.07,80.6,69,20,8.59,PT,1595794841
57,Atuona,-9.8,-139.03,80.24,71,4,24.2,PF,1595794293
58,Port Blair,11.67,92.75,82.17,76,100,1.1,IN,1595794844
59,Ndélé,8.41,20.65,70.34,93,73,7.52,CF,1595794845
60,Santa Lucía,27.91,-15.54,75.0,69,20,31.09,ES,1595794846
61,Maridi,4.92,29.47,67.23,96,62,2.93,SS,1595794847
62,Punta Arenas,-53.15,-70.92,39.2,64,20,16.11,CL,1595794475
63,Bonavista,48.65,-53.11,57.72,96,100,16.37,CA,1595794849
64,Hambantota,6.12,81.12,80.08,79,100,11.14,LK,1595794336
65,Ostrovnoy,68.05,39.51,58.8,78,88,4.97,RU,1595794647
66,Jinchang,38.5,102.17,74.28,21,61,7.0,CN,1595794853
67,Hilo,19.73,-155.09,86.0,62,75,5.82,US,1595794395
68,Kavaratti,10.57,72.64,81.63,81,67,10.69,IN,1595794609
69,Sakakah,29.97,40.21,105.8,10,0,4.7,SA,1595794856
70,Sciacca,37.51,13.09,75.99,65,0,7.0,IT,1595794857
71,Yellowknife,62.46,-114.35,71.6,40,20,9.17,CA,1595794532
72,Torbay,47.67,-52.73,59.0,93,90,14.99,CA,1595794860
73,Sur,22.57,59.53,87.26,62,96,14.45,OM,1595794861
74,Cotonou,6.37,2.42,77.0,88,40,12.75,BJ,1595794862
75,San Miguel,13.48,-88.18,91.4,74,40,4.7,SV,1595794863
76,Zhangaözen,43.3,52.8,85.24,18,48,24.29,KZ,1595794864
77,Ponta do Sol,32.67,-17.1,71.6,68,20,13.87,PT,1595794865
78,Grindavik,63.84,-22.43,53.6,71,75,17.22,IS,1595794866
79,Puerto Ayora,-0.74,-90.35,78.8,57,20,24.16,EC,1595794352
80,Bucerías,20.75,-105.33,89.01,62,40,8.05,MX,1595794869
81,Saint-Pierre,-21.34,55.48,66.2,77,77,5.82,RE,1595794870
82,Iqaluit,63.75,-68.51,53.6,76,40,5.82,CA,1595794849
83,Paragominas,-2.97,-47.48,87.69,50,16,2.55,BR,1595794872
84,Olafsvik,64.89,-23.71,50.14,72,83,7.65,IS,1595794729
85,Kysyl-Syr,63.9,122.76,52.48,92,92,1.12,RU,1595794874
86,Vaini,-21.2,-175.2,69.8,88,75,8.05,TO,1595794387
87,Bosaso,11.28,49.18,88.16,62,24,3.85,SO,1595794877
88,Salalah,17.02,54.09,78.8,94,75,2.24,OM,1595794649
89,George Town,5.41,100.34,80.6,94,40,0.89,MY,1595794263
90,Hermanus,-34.42,19.23,50.0,79,14,1.01,ZA,1595794578
91,Vila Franca do Campo,37.72,-25.43,73.4,83,40,10.29,PT,1595794881
92,Norman Wells,65.28,-126.83,71.6,49,75,11.41,CA,1595794420
93,Tuatapere,-46.13,167.68,39.0,83,1,3.0,NZ,1595794413
94,Portel,-1.94,-50.82,90.23,50,70,3.02,BR,1595794884
95,Oranjemund,-28.55,16.43,57.94,79,0,19.62,NA,1595794886
96,Ahipara,-35.17,173.17,47.25,80,0,4.85,NZ,1595794887
97,Klaksvík,62.23,-6.59,51.8,81,100,8.05,FO,1595794358
98,Hithadhoo,-0.6,73.08,82.8,66,94,5.7,MV,1595794889
99,Northam,51.03,-4.22,62.01,93,100,4.0,GB,1595794735
100,Jasper,37.2,-94.35,93.0,49,1,8.05,US,1595794891
101,North Bend,43.41,-124.22,88.0,56,1,9.17,US,1595794892
102,Tanga,-5.07,39.1,72.5,84,3,11.14,TZ,1595794893
103,Severo-Kuril'sk,50.68,156.12,51.12,91,99,16.37,RU,1595794333
104,Goderich,43.75,-81.72,91.99,72,98,7.0,CA,1595794896
105,Arraial do Cabo,-22.97,-42.03,77.0,73,40,6.93,BR,1595794897
106,Nouadhibou,20.93,-17.03,69.8,88,0,28.86,MR,1595794898
107,Tuktoyaktuk,69.45,-133.04,62.6,67,40,9.17,CA,1595794487
108,Port Elizabeth,-33.92,25.57,55.4,87,54,6.93,ZA,1595794629
109,Castro,-24.79,-50.01,66.11,69,94,3.6,BR,1595794563
110,San Cristobal,7.77,-72.22,91.4,43,20,9.17,VE,1595794769
111,Ca Mau,9.18,105.15,78.53,86,89,1.03,VN,1595794770
112,Barrow,71.29,-156.79,44.6,87,90,14.99,US,1595794571
113,Berlevåg,70.86,29.09,64.4,82,0,10.29,NO,1595794906
114,Ribeira Grande,38.52,-28.7,75.2,88,75,9.17,PT,1595794474
115,Petawawa,45.9,-77.33,90.0,52,20,12.5,CA,1595794908
116,Yazoo City,32.86,-90.41,86.0,88,1,8.9,US,1595794909
117,Jalu,29.03,21.55,84.72,39,0,16.15,LY,1595794910
118,Grand Gaube,-20.01,57.66,70.0,73,99,10.0,MU,1595794911
119,Henties Bay,-22.12,14.28,62.01,83,0,10.16,NA,1595794554
120,Saint-Philippe,-21.36,55.77,66.2,77,76,5.82,RE,1595794496
121,Chui,-33.7,-53.46,51.75,82,100,5.77,UY,1595794491
122,Saint Paul Harbor,57.79,-152.41,62.6,59,40,9.17,US,1595794495
123,Jamestown,42.1,-79.24,86.0,57,75,9.17,US,1595794291
124,Manalongon,9.22,122.89,78.49,82,37,4.94,PH,1595794918
125,Port Hardy,50.7,-127.42,59.0,87,40,4.7,CA,1595794919
126,Kahului,20.89,-156.47,80.6,78,90,18.34,US,1595794920
127,Tura,25.52,90.22,76.51,91,91,2.39,IN,1595794598
128,Chokurdakh,70.63,147.92,44.64,82,100,11.9,RU,1595794343
129,Vanavara,60.34,102.28,56.71,85,100,7.02,RU,1595794924
130,Avanigadda,16.02,80.92,85.14,73,64,3.6,IN,1595794925
131,Dunedin,-45.87,170.5,45.0,75,0,3.0,NZ,1595794926
132,Bānswāra,23.55,74.45,83.62,72,0,13.85,IN,1595794927
133,Darhan,49.49,105.92,59.61,90,8,2.68,MN,1595794928
134,Te Anau,-45.42,167.72,35.19,87,28,0.83,NZ,1595794930
135,Dikson,73.51,80.55,38.43,91,100,14.94,RU,1595794570
136,Riacho de Santana,-13.61,-42.94,78.37,44,12,10.67,BR,1595794932
137,Saskylakh,71.92,114.08,37.78,95,100,18.23,RU,1595794716
138,Pandan,14.05,124.17,79.86,84,33,2.3,PH,1595794934
139,Frontera,26.93,-101.45,73.4,83,90,13.87,MX,1595794935
140,Chumikan,54.72,135.31,51.19,91,44,2.24,RU,1595794936
141,Oodweyne,9.41,45.06,75.72,49,69,17.54,SO,1595794938
